venue,avg_1st_score,median_1st_score,std_1st_score,win_rate_bat_first
"7he Sevens Stadium, Dubai",79.0,79.0,0.0,0.0
AMI Stadium,186.4918918918919,183.0,21.454968008309965,0.32972972972972975
"Achimota Senior Secondary School A Field, Accra",122.65740272865084,111.0,53.848858433822876,0.4441637190500253
"Achimota Senior Secondary School B Field, Accra",122.0037037037037,111.0,38.42397962928368,0.5935185185185186
Adelaide Oval,167.14436805922793,168.0,39.47020567787653,0.5954521417239556
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),150.5184263348053,147.0,36.61047122878533,0.44680851063829785
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),157.1947242206235,158.0,66.09490745542068,0.6311750599520384
Allan Border Field,133.64430894308944,138.0,8.600046661295359,0.2540650406504065
"Allan Border Field, Brisbane",167.8211382113821,146.0,22.04412366339254,0.4959349593495935
Amini Park,153.1048387096774,156.0,57.9036884252932,0.4629032258064516
"Amini Park, Port Moresby",118.58049242424242,106.0,37.672831260741724,0.5397727272727273
"Arnos Vale Ground, Kingstown",143.465306122449,135.0,8.51732927385011,0.5020408163265306
"Arnos Vale Ground, Kingstown, St Vincent",140.96231493943472,147.0,27.972188363757912,1.0
Arun Jaitley Stadium,175.22131147540983,202.0,27.054589623059037,0.5040983606557377
"Arun Jaitley Stadium, Delhi",215.9402390438247,211.0,5.009632156419209,0.4940239043824701
Arundel Castle Cricket Club Ground,139.0,139.0,0.0,0.0
Asian Institute of Technology Ground,99.7292243767313,107.0,35.38724616414766,0.7084487534626038
"Asian Institute of Technology Ground, Bangkok",29.589041095890412,30.0,0.4954127470648463,0.0
"Ballpark Ground, Graz",169.27906976744185,244.0,76.62795831821737,0.5116279069767442
Barabati Stadium,138.02510460251045,180.0,44.045614694695196,0.5230125523012552
"Barabati Stadium, Cuttack",148.0,148.0,0.0,0.0
Barsapara Cricket Stadium,126.89634146341463,118.0,19.277463463480174,0.49390243902439024
"Barsapara Cricket Stadium, Guwahati",229.26923076923077,222.0,7.510906830318245,0.4846153846153846
Basin Reserve,162.0,162.0,9.017910465476312,0.5
"Basin Reserve, Wellington",156.16666666666666,136.0,20.53907839939754,0.491869918699187
Bay Oval,181.0550038197097,182.0,41.67039775091435,0.8502673796791443
"Bay Oval, Mount Maunganui",172.0689238210399,186.0,44.51369013430721,0.7690447400241838
Bayer Uerdingen Cricket Ground,132.81047653692252,132.0,44.611162451478876,0.5671153146598763
"Bayuemas Oval, Kuala Lumpur",119.30498505447883,112.0,47.94434286498582,0.5199112911001832
"Beausejour Stadium, Gros Islet",149.61600429645543,150.0,30.728993804245736,0.4011815252416756
"Belgrano Athletic Club Ground, Buenos Aires",151.80806451612904,125.0,46.1642531866371,0.6
Bellerive Oval,182.66933333333333,179.0,23.93970798774129,0.6693333333333333
"Bellerive Oval, Hobart",147.76131953428202,146.0,31.73232430449726,0.407503234152652
Bermuda National Stadium,141.0,141.0,0.0,0.0
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,149.36491935483872,158.0,31.59724286644582,0.2600806451612903
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",149.0,149.0,50.10030100351266,0.5
Boland Bank Park,97.0,97.0,0.0,1.0
Boland Park,146.49392712550608,146.0,0.5009782734211818,0.4939271255060729
"Boland Park, Paarl",137.76268861454048,135.0,23.64747811782162,0.6694101508916324
Botswana Cricket Association Oval 1,105.04212454212454,93.0,37.947284365497275,0.27564102564102566
"Botswana Cricket Association Oval 1, Gaborone",117.2929169840061,115.0,58.53997228184557,0.6298552932216298
Botswana Cricket Association Oval 2,108.1866125760649,148.0,54.52699099750387,0.5943204868154158
"Botswana Cricket Association Oval 2, Gaborone",126.22809040590406,125.0,49.43561846863887,0.6930350553505535
Brabourne Stadium,159.56404958677686,166.0,37.481384954717214,0.256198347107438
"Brabourne Stadium, Mumbai",185.42702702702704,188.0,9.984069930849449,1.0
Bready,171.0,171.0,0.0,0.0
"Bready Cricket Club, Magheramason",142.89795918367346,166.0,40.36470307256622,0.47959183673469385
"Bready Cricket Club, Magheramason, Bready",146.97067448680352,124.0,57.308782879603136,0.6979472140762464
"Brian Lara Stadium, Tarouba",130.45405405405404,135.0,22.363207717160417,0.0
"Brian Lara Stadium, Tarouba, Trinidad",149.26448362720404,149.0,60.25384459059374,0.5289672544080605
"Brisbane Cricket Ground, Woolloongabba",167.3500837520938,158.0,31.934124530926667,0.5963149078726968
"Brisbane Cricket Ground, Woolloongabba, Brisbane",165.3029197080292,178.0,24.450962577870026,1.0
Buffalo Park,160.96728016359918,160.0,12.702739191063635,0.50920245398773
"Buffalo Park, East London",128.0,141.0,28.1847467121766,0.3330404217926186
Bulawayo Athletic Club,146.5032139577594,146.0,34.28503251762364,0.2066115702479339
Carrara Oval,132.6178107606679,131.0,14.86177133597919,0.34137291280148424
"Castle Avenue, Dublin",166.94266055045873,176.0,23.11765775152814,0.2775229357798165
Central Broward Regional Park Stadium Turf Ground,152.95844504021449,167.0,46.65603565499209,0.7620643431635389
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",167.16972111553784,178.0,27.022597451913434,0.6039840637450199
"Centre for Cricket Development Ground, Windhoek",99.05102040816327,93.0,32.23867030117199,0.6181972789115646
Chilaw Marians Cricket Club Ground,156.0,156.0,0.0,1.0
City Oval,132.97942386831275,128.0,5.0102775031365745,0.0
